id,isPlace,key,value,page,name:en,plural:en,name:am,plural:am,name:de,plural:de
1,FALSE,amenity,bank,banks,Bank,Banks,ባንክ,ባንኮች,Bank,Banken
2,FALSE,amenity,atm,banks,ATM,ATMs,ፈጣን የገንዘብ ማሽን,ፈጣን የገንዘብ ማሽኖች,Geldautomat,Geldautomaten
3,FALSE,amenity,arts_centre,art-centers,Arts,Arts,የኪነጥበብ ማዕከል,የኪነጥበብ ማዕከላት ,Kunstladen,Kunstläden
4,FALSE,amenity,cinema,cinemas,Cinema,Cinemas,ሲኒማ ቤት,ሲኒማ ቤቶች,Kino,Kinos
5,FALSE,amenity,theatre,theatres,Theatre,Teatres,ቲያትር ቤት,ቲያትር ቤቶች,Theater,Theater
6,FALSE,amenity,studio,studios,Studio,Studios,ስቱዲዮ,ስቱዲዮዎች,Studio,Studios
7,FALSE,amenity,cafe,cafes,Cafe,Cafes,ሻይ ቤት,ሻይ ቤቶች,Cafe,Cafes
8,FALSE,amenity,fast_food,fast-food,Fast Food,Fast Food,ፈጣን ምግብ,ፈጣን ምግቤቶች,Fast Food,Fast Food Restaurants
9,FALSE,amenity,pub,pubs,Pub,Pubs,ፐብ,ፐቦች,Kneipe,Kneipen
10,FALSE,amenity,nightclub,nightclubs,Nightclub,Nightclubs,የምሽት ክለብ,የምሽት ክለቦች,Club,Clubs
11,FALSE,amenity,restaurant,restaurants,Restaurant,Restaurants,ምግብ ቤት,ምግብ ቤቶች,Restaurant,Restaurants
12,FALSE,amenity,bar,bars,Bar,Bars,ቡና ቤት,ቡና ቤቶች,Bar,Bars
13,FALSE,amenity,car_rental,rent-a-car,Car,Car Rentals,የመኪና ማከራያ,የመኪና ማከራያዎች,Autovermietung,Autovermietungen
14,FALSE,amenity,car_sharing,car-sharing,Car,Car Sharing,የመኪና ዕቃ መለዋወጫ መሸጫ,የመኪና መለዋወጫ ዕቃ መሸጫዎች  ,Carsharing,Carsharing
15,FALSE,amenity,fuel,get-fuel,FuelStation,Fuel-Stations,ነዳጅ ማደያ,ነዳጅ ማደያዎች ,Tankstelle,Tankstellen
16,FALSE,amenity,bus_station,bus-stations,Bus,Bus Stations,አውቶቡስ መናኃሪያ,አውቶቡስ መናኃሪያዎች,Bushaltestelle,Bushaltestellen
17,FALSE,amenity,parking,parking,Parking,Parking Places,የመኪና ማቆሚያ,የመኪና ማቆሚያዎች,Parken,Parken
18,FALSE,amenity,taxi,taxi,Taxi,Taxis,ታክሲ,ታክዎች,Taxi,Taxen
19,FALSE,amenity,embassy,embassies,Embassy,Embassies,ኤምባሲ,ኤምባሲዎች,Botschaft,Botschaften
20,FALSE,amenity,courthouse,courthouses,Courthouse,Courthouses,ፍርድ ቤት,ፍርድ ቤት,Gericht,Gerichte
21,FALSE,amenity,fire_station,fire-stations,Fire,Fire Stations,እሳትና ድንገተኛ አደጋዎች መከላከያ,እሳትና ድንገተኛ አደጋ መከላከያ ጣቢዎች  ,Feuerwehr,Feuerwehren
22,FALSE,amenity,prison,prisons,Prison,Prisons,እስር ቤት,እስር ቤቶች,Gefängnis,Gefängnisse
23,FALSE,amenity,police,police-stations,Police,Police Stations,ፖሊስ ጣቢያ,ፖሊስ ጣቢያዎች,Polizei,Polizei
24,FALSE,amenity,dentist,dentists,Dentist,Dentists,የጥርስ ሃኪም,የጥርስ ሃኪሞች,Zahnarzt,Zahnärtze
25,FALSE,amenity,doctors,doctors,Doctors,Doctors,ክሊኒክ,ክሊኒኮች,Ärztehaus,Ärztehäuser
26,FALSE,amenity,hospital,hospitals,Hospital,Hospitals,ሆስፒታል,ሆስፒታሎች,Krankenhaus,Krankenhäuser
27,FALSE,amenity,pharmacy,pharamcies,Pharmacy,Pharmacies,መድሃኒት ቤት,መድሃኒት ቤቶች,Apotheke,Apotheken
28,FALSE,amenity,veterinary,verterinaries,Veterinary,Verterinaries,የእንስሳት መድሃኒት ቤት,የእንስሳት መድሃኒት ቤቶች,Tierarzt,Tierärzte
29,FALSE,amenity,place_of_worship,churches-mosques,Church or Mosque,Churches & Mosques,የእምነት ቦታ,የእምነት ቦታዎች,Kirche/Moschee,Kirchen/Moscheen
30,FALSE,amenity,grave_yard,grave-yards,Grave Yard,Grave Yards,የቀብር ቦታ,የቀብር ቦታዎች ,Friedhof,Friedhöfe
31,FALSE,amenity,kindergarten,kindergartens,Kindergarten,Kindergartens,ሕፃናት መዋያ,ሕፃናት መዋያዎች,Kindergarten,Kindergärten
32,FALSE,amenity,university,universities,University,Universities,ዩኒቨርሲቲ,ዩኒቨርሲቲዎች,Universität,Universitäten
33,FALSE,amenity,school,schools,School,Schools,ትምህርት ቤት,ትምህርት ቤቶች,Schule,Schulen
34,FALSE,amenity,college,colleges,College,Colleges,ኮሌጅ,ኮሌጆች,College,Colleges
35,FALSE,amenity,library,libraries,Library,Libraries,ቤተ-መፃሕፍት,ቤተ-መፃሕፍቶች,Bibliothek,Bibliotheken
36,FALSE,amenity,post_box,post-boxes,Post Box,Post Boxes,ፖስታ ሳጥን,ፖስታ ሳጥኖች,Briefkasten,Briefkästen
37,FALSE,amenity,post_office,post-offices,Post Office,Post Offices,ፖስታ ቤት,ፖስታ ቤቶች,Postamt,Postämter
38,FALSE,amenity,telephone,public-telephones,Telephone,Telephones,የህዝብ ስልክ,የህዝብ ስልኮች,Telefon,Telefone
39,FALSE,amenity,toilets,public-toilets,Toilets,Toilets,መፀዳጃ ቤት,መፀዳጃ ቤቶች,Toiletten,Toiletten
40,TRUE,amenity,public_building,public-buildings,Public Building,Public Buildings,የህዝብ ህንፃ,የህዝብ ህንፃዎች,Gebäude,Gebäude
41,FALSE,shop,furniture,furniture-shops,Furniture,Furniture Shops,የቤትና የቢሮ ዕቃዎች መሸጫ,የቤትና የቢሮ ዕቃ መሸጫዎች ,Möbelhaus,Möbelhäuser
42,FALSE,shop,supermarket,supermarkets,Supermarket,Supermarkets,የገበያ ማዕከል,የገበያ ማዕከላት ,Supermarkt,Supermärkte
43,FALSE,shop,kiosk,kiosks,Kiosk,Kiosks,አነስተኛ ሱቅ,አነስተኛ ሱቆች,Kiosk,Kiosks
44,FALSE,shop,butcher,butchers,Butcher,Butchers,ሥጋ ቤት,ሥጋ ቤቶች,Metzger,Metzger
45,FALSE,shop,beverages,beverages-shops,Beverages,Beverage Stores,የለስላሳ መጠጦች ማከፋፈያ,የለስላሳ መጠጥ ማከፋፈያዎች ,Getränkhandel,Getränkhandel
46,FALSE,shop,organic,organic-shops,Organic,Organic Stores,አትክልት መደብር,አትክልት መደብሮች,Bioladen,Bioläden
47,FALSE,shop,car,car-shops,Car,Car Shops,መኪና መሸጫ,መኪና መሸጫዎች,Auto,Auto
48,FALSE,shop,car_repair,car-repair,Car,Car Garages,ጋራዥ,ጋራዦች,Autowerkstatt,Autowerkstätten
49,FALSE,shop,clothes,buy-clothes,Clothes,Clothes Stores,ልብስ ቤት,ልብስ ቤቶች,Modehaus,Modehäuser
50,FALSE,shop,shoes,shoe-shops,Shoes,Shoe Stores,ጫማ ቤት,ጫማ ቤቶች,Schuhladen,Schuhläden
51,FALSE,shop,optician,opticians,Optician,Opticians,መነፅር ቤት,መነፅር ቤቶች,Optiker,Optiker
52,FALSE,shop,hairdresser,hairdressers,Hairdresser,Hairdressers,ፀጉር ቤት,ፀጉር ቤቶች,Frisör,Frisöre
53,FALSE,shop,doityourself,diy-shops,Doityourself,Doityourself Stores,,,Baumarkt,Baumärkte
